accelerometer_X,accelerometer_Y,accelerometer_Z
1.000776,4.616021,8.576031
0.7182609999999999,4.209007,8.446744
-0.909797,-0.282516,9.203311
5.09965,0.148441,8.418014
1.762132,-0.162806,9.251195
-0.086191,-0.148441,9.787497
-0.062249,-0.1915359999999999,9.773131
-0.057461,-0.114922,9.763555
-0.124498,-0.162806,9.782708
-0.138864,-0.124498,9.768343
-0.0957679999999999,-0.1292869999999999,9.773131
-0.114922,-0.134075,9.782708
-0.114922,-0.134075,9.744401
-0.0909799999999999,-0.143652,9.773131
-0.0957679999999999,-0.1292869999999999,9.782708
-0.105345,-0.114922,9.763555
-0.148441,-0.148441,9.787497
-0.134075,-0.105345,9.773131
-0.1005559999999999,-0.124498,9.763555
-0.081403,-0.110133,9.744401
-0.124498,-0.153229,9.773131
-0.320823,-0.1915359999999999,9.792285
0.148441,-0.234632,9.768343
0.407014,0.0239419999999999,9.80665
-0.311246,-0.167594,9.768343
-0.038307,-0.244209,9.782708
-0.114922,-0.158017,9.801862
-0.124498,-0.114922,9.758766
-0.167594,-0.124498,9.667787
-0.11971,-0.124498,9.792285
-0.1005559999999999,-0.124498,9.763555
-0.081403,-0.110133,9.744401
-0.124498,-0.153229,9.773131
-0.320823,-0.1915359999999999,9.792285
0.148441,-0.234632,9.768343
0.407014,0.0239419999999999,9.80665
-0.311246,-0.167594,9.768343
-0.038307,-0.244209,9.782708
-0.114922,-0.158017,9.801862
-0.124498,-0.114922,9.758766
-0.167594,-0.124498,9.667787
-0.11971,-0.124498,9.792285
-0.1005559999999999,-0.148441,9.792285
-0.138864,-0.110133,9.782708
-0.114922,-0.1292869999999999,9.77792
-0.1292869999999999,-0.124498,9.782708
-0.138864,-0.138864,9.77792
-0.114922,-0.11971,9.77792
-0.114922,-0.143652,9.758766
0.014365,-0.057461,9.734824
-0.110133,-0.134075,9.77792
-0.153229,-0.124498,9.763555
-0.086191,-0.134075,9.749189
-0.124498,-0.134075,9.782708
-0.138864,-0.134075,9.792285
-0.110133,-0.11971,9.77792
-0.0957679999999999,-0.124498,9.782708
-0.1292869999999999,-0.143652,9.77792
-0.1915359999999999,-0.057461,9.768343
-0.033519,-0.134075,9.758766
-0.0957679999999999,0.234632,9.763555
-0.086191,0.234632,9.753978
-0.105345,0.225055,9.753978
-0.086191,0.234632,9.77792
-0.076614,0.225055,9.744401
-0.114922,0.225055,9.753978
-0.081403,0.196325,9.782708
-0.124498,0.225055,9.768343
-0.1005559999999999,0.201113,9.763555
-0.124498,0.215478,9.773131
-0.11971,0.220267,9.744401
-0.105345,0.220267,9.792285
-0.086191,0.21069,9.773131
-0.114922,0.215478,9.768343
-0.062249,0.177171,9.768343
-0.1005559999999999,0.220267,9.77792
-0.0957679999999999,0.177171,9.792285
-0.086191,0.23942,9.77792
-0.1005559999999999,0.234632,9.763555
-0.067038,0.244209,9.773131
-0.110133,0.229843,9.792285
-0.105345,0.215478,9.782708
